,Number-1,Number-2,Number-3,Number-4,Number-5,Number-6,Number-7,Sum
228597,7,9,11,19,22,23,28,119
228947,6,10,11,19,24,25,27,122
229327,7,9,15,18,22,26,27,124
229418,7,9,11,16,22,26,27,118
229446,3,4,17,18,19,23,28,112
229741,1,7,15,16,19,24,29,111
229785,9,14,16,17,21,27,33,137
229935,1,3,7,18,19,29,34,111
229965,2,8,11,12,25,28,33,119
230023,2,7,10,17,27,29,33,125
230108,4,5,9,20,23,26,27,114
230148,1,7,11,20,22,26,35,122
230272,4,12,15,16,21,29,35,132
230385,2,7,15,18,19,29,35,125
230449,1,7,11,12,22,24,31,108
230490,3,4,8,16,27,29,33,120
230541,5,7,17,18,21,24,35,127
230613,3,10,17,18,27,31,33,139
230651,4,10,15,16,19,24,29,117
230881,2,4,8,11,25,30,35,115
231036,10,12,16,20,21,27,33,139
231108,4,8,17,20,27,31,33,140
231161,3,4,15,18,19,28,34,121
231255,6,7,11,17,23,27,30,121
231509,2,6,16,19,25,29,33,130
231561,4,12,14,16,27,31,33,137
231619,7,10,15,16,19,29,31,127
231670,4,9,14,19,23,25,31,125
231756,1,9,14,20,23,27,30,124
231889,7,12,14,20,24,27,29,133
231997,3,6,9,16,19,23,29,105
232167,1,10,16,20,26,29,31,133
232174,1,5,16,18,24,25,31,120
232191,7,8,15,20,22,26,31,129
232200,9,12,17,24,25,29,31,147
232405,3,6,9,18,19,24,28,107
232511,2,5,9,16,21,24,30,107
232535,7,9,18,19,22,26,32,133
232565,2,6,7,11,19,25,32,102
232615,4,8,11,13,21,27,32,116
232865,4,10,17,18,21,26,35,131
232983,3,8,9,18,22,28,31,119
233034,3,7,18,19,29,32,35,143
233048,7,9,10,20,24,26,29,125
233091,5,14,15,16,22,27,31,130
233220,2,8,11,24,25,29,31,130
233228,7,10,11,18,21,27,32,126
233542,1,7,14,18,26,29,35,130
233627,1,6,10,20,26,29,35,127
234072,4,7,11,18,19,25,29,113
234195,4,6,10,13,26,27,33,119
234268,1,4,8,18,21,24,29,105
234297,7,14,16,24,27,30,31,149
234739,5,7,9,11,24,26,29,111
234888,6,7,8,12,22,27,29,111
234899,4,9,17,18,23,27,35,133
234930,4,12,14,18,19,27,31,125
235054,1,7,8,20,24,27,29,116
235065,5,6,9,11,21,28,35,115
235205,8,9,15,18,22,24,25,121
235352,10,12,15,16,21,24,25,123
235424,5,8,15,16,21,29,33,127
235498,9,10,14,18,29,31,35,146
235590,5,8,11,16,22,26,27,115
235642,1,4,8,19,22,25,33,112
235770,4,7,8,17,21,25,27,109
236146,1,10,16,20,21,27,31,126
236178,2,7,14,20,24,25,31,123
236300,8,9,10,19,25,29,34,134
236657,2,10,16,19,29,31,33,140
236861,2,6,17,18,23,28,33,127
237046,2,8,9,13,22,27,34,115
237106,2,6,16,17,19,25,29,114
237120,2,7,8,12,19,29,31,108
237156,8,9,10,20,23,27,29,126
237303,2,3,11,18,19,23,29,105
237735,4,10,11,13,21,27,31,117
237789,9,12,14,16,22,23,29,125
237883,9,10,11,13,17,25,30,115
237948,1,5,7,16,22,24,25,100
237970,1,5,16,18,24,29,34,127
238051,2,6,11,13,17,30,31,110
238089,5,9,17,19,24,25,34,133
238118,1,7,18,20,22,25,31,124
238175,1,9,16,20,22,30,35,133
238201,9,12,17,18,22,23,33,134
238222,6,12,16,17,25,27,28,131
238265,4,5,14,17,25,27,31,123
238387,2,8,16,19,23,29,31,128
238543,1,8,9,16,22,29,33,118
238723,3,5,7,14,22,28,29,108
238784,1,7,9,18,22,28,35,120
238876,1,6,7,20,27,31,33,125
239162,1,9,14,20,25,31,35,135
239166,7,9,11,19,26,28,32,132
239234,2,3,9,16,17,29,33,109
239277,4,9,15,16,19,31,35,129
239438,5,7,11,13,22,26,34,118
239502,1,9,15,24,25,30,34,138
239843,3,7,9,17,23,24,34,117
239870,1,10,11,14,17,27,35,115
240074,4,5,11,14,25,27,31,117
240129,4,8,18,19,21,23,29,122
240244,3,7,18,24,25,26,34,137
240285,6,9,11,14,19,25,29,113
240423,9,10,11,14,17,24,35,120
240451,3,10,15,16,19,29,31,123
240754,3,9,17,18,23,27,30,127
240791,5,6,11,18,21,23,25,109
241016,7,10,14,20,22,31,33,137
241020,1,9,15,16,22,26,29,118
241081,10,12,14,16,23,27,29,131
241143,10,12,16,20,21,29,33,141
241150,2,6,17,20,21,27,33,126
241161,1,5,16,20,22,28,35,127
241629,7,9,16,19,23,29,30,133
241649,9,12,17,20,21,24,30,133
241704,2,4,17,20,23,27,31,124
241720,9,14,16,18,22,25,27,131
242011,2,10,11,14,19,25,35,116
242024,4,7,10,13,17,27,30,108
242407,4,6,17,18,25,27,31,128
242447,2,4,11,20,21,25,27,110
242868,6,7,15,17,21,24,34,124
242887,3,7,9,11,19,30,34,113
242924,2,7,8,13,25,29,32,116
243082,4,5,14,20,27,31,35,136
243267,4,8,9,20,23,26,29,119
243329,1,9,15,20,26,30,35,136
243403,9,14,17,18,23,31,35,147
243609,9,12,18,19,26,29,30,143
243624,6,9,10,20,21,27,34,127
244080,1,9,16,18,22,27,32,125
244182,6,9,17,18,21,24,29,124
244225,5,14,16,18,24,25,35,137
244312,9,14,18,20,23,24,35,143
244341,2,6,7,12,17,24,33,101
244360,1,5,7,20,23,28,34,118
244431,1,5,16,20,22,26,29,119
244565,4,9,16,20,23,26,31,129
244577,5,7,18,19,22,24,30,125
244911,5,9,17,18,23,27,28,127
244973,7,14,18,20,25,31,34,149
244998,1,7,11,18,19,29,34,119
245038,2,6,11,12,21,25,30,107
245195,1,4,9,19,21,25,28,107
245278,3,9,16,17,23,24,27,119
245470,2,7,11,17,21,28,31,117
245580,1,4,7,18,29,32,33,124
245695,1,7,9,11,24,26,34,112
245808,1,8,9,13,24,30,35,120
245815,4,9,15,19,22,25,31,125
246020,4,7,14,18,19,25,28,115
246113,5,14,16,18,22,31,33,139
246346,8,12,16,17,27,32,33,145
246407,2,4,8,16,23,27,35,115
246593,8,9,10,14,25,29,31,126
246831,3,4,10,17,27,31,35,127
246915,6,7,11,12,21,27,31,115
247002,8,9,15,20,24,27,32,135
247008,1,7,11,12,23,27,34,115
247352,7,8,16,17,21,25,27,121
247558,1,5,11,20,24,25,34,120
247628,1,10,16,20,27,28,31,133
247915,4,6,18,19,23,29,30,129
247925,1,8,16,17,23,24,27,116
247944,8,9,15,18,26,29,30,135
248108,5,9,11,19,24,32,35,135
248251,9,12,14,18,23,26,29,131
248462,9,12,17,20,24,26,27,135
248475,9,14,18,19,24,27,31,142
248521,1,7,17,18,22,28,34,127
248548,2,4,8,14,19,25,31,103
248946,7,10,16,20,26,27,29,135
248983,6,9,15,19,24,25,30,128
249282,4,8,17,18,22,23,35,127
249322,2,5,11,16,17,25,29,105
249586,2,5,11,19,25,29,32,123
249848,5,10,16,20,26,27,31,135
249857,4,8,14,18,21,29,33,127
249988,1,6,18,24,29,32,33,143
250150,5,10,15,16,19,29,34,128
250182,7,14,16,20,22,31,33,143
250189,8,9,14,16,19,29,33,128
250791,2,7,15,19,25,29,34,131
250928,4,14,17,18,23,30,31,137
251071,3,8,9,12,25,28,29,114
251239,3,7,15,18,21,29,32,125
251514,5,7,11,18,21,28,34,124
251644,5,6,7,20,25,26,29,118
251661,4,5,17,20,22,26,31,125
251710,8,9,10,13,24,29,35,128
251806,3,8,16,18,22,23,35,125
252008,4,8,17,18,19,29,35,130
252012,2,5,11,20,21,25,33,117
252702,1,8,18,20,23,26,27,123
252735,4,8,9,16,21,25,31,114
252850,1,9,17,18,24,29,33,131
252898,4,5,11,13,22,26,35,116
253027,2,4,11,13,17,28,34,109
253232,3,6,16,17,21,27,32,122
253445,5,9,17,18,24,26,31,130
253461,4,8,17,19,22,25,29,124
253505,6,7,11,19,22,24,30,119
253546,5,7,8,19,22,25,29,115
253696,4,7,10,20,21,25,29,116
253729,8,14,15,16,19,27,29,128
254028,4,8,9,14,23,31,35,124
254073,4,9,11,13,19,27,34,117
254183,1,7,9,11,22,26,35,111
254299,6,9,11,13,17,24,33,113
254671,9,10,14,17,25,27,31,133
254689,2,7,11,14,19,25,32,110
254715,4,5,9,18,19,24,34,113
254841,3,7,8,17,23,27,32,117
254869,8,9,17,20,23,26,27,130
254884,7,8,9,13,17,24,33,111
255098,4,5,10,19,21,25,27,111
255480,10,12,18,19,27,29,33,148
255508,2,8,9,20,23,27,28,117
255728,8,14,17,18,21,26,31,135
255838,2,3,9,13,19,24,35,105
255879,1,5,14,16,22,27,33,118
255998,5,9,11,18,22,26,28,119
256099,5,12,16,20,21,26,29,129
256201,5,7,9,11,22,26,28,108
256243,1,7,15,16,19,29,34,121
256412,8,10,11,16,23,26,27,121
256548,7,9,11,19,24,25,34,129
256567,6,7,11,13,17,27,32,113
256589,7,14,15,19,23,29,34,141
256611,1,7,10,11,22,25,27,103
256643,1,5,15,20,26,29,35,131
256654,4,5,9,19,24,25,33,119
256830,10,12,16,17,22,29,33,139
256856,1,3,9,13,24,25,34,109
256987,7,9,11,13,17,26,28,111
257142,8,9,15,19,29,32,35,147
257150,4,12,14,18,25,29,33,135
257158,9,14,15,20,22,26,29,135
257159,3,7,14,24,27,28,33,136
257226,1,9,14,20,24,27,35,130
257429,4,8,11,13,19,27,33,115
257438,1,7,18,20,21,23,25,115
257533,1,8,9,24,25,30,34,131
257668,9,14,17,18,19,24,31,132
257748,9,10,17,24,25,28,34,147
257872,2,9,17,18,22,28,29,125
258208,2,6,11,17,25,29,31,121
258600,9,14,18,20,21,29,32,143
258715,2,7,11,14,23,28,34,119
258737,8,9,11,12,19,25,27,111
258779,2,7,9,18,19,25,29,109
259006,4,8,9,14,25,31,34,125
259112,2,6,15,16,19,23,29,110
259343,9,14,16,20,23,31,34,147
259530,1,4,7,12,25,27,31,107
259613,4,6,15,19,22,25,27,118
259964,4,6,14,18,19,25,27,113
260083,1,3,16,20,22,26,31,119
260233,5,10,17,18,19,23,33,125
260265,2,4,8,19,26,27,35,121
260446,1,4,7,18,19,23,34,106
261009,2,4,17,19,21,24,25,112
261081,1,7,15,24,25,26,30,128
261118,1,7,10,18,25,28,29,118
261153,1,4,17,20,21,23,30,116
261411,7,12,17,18,22,30,35,141
261502,2,8,11,13,17,25,32,108
261512,1,4,10,18,22,23,25,103
261649,1,14,16,20,23,29,34,137
261666,6,10,11,18,21,26,27,119
261670,2,12,16,17,22,29,33,131
262046,8,9,10,12,22,25,31,117
262078,2,8,15,16,24,27,31,123
262091,9,12,16,17,23,24,28,129
262102,7,8,17,20,21,26,31,130
262476,5,7,17,18,22,23,34,126
262665,7,14,17,20,21,23,27,129
262772,4,6,7,17,19,23,27,103
262784,5,7,18,19,22,24,31,126
262861,1,7,9,16,26,29,33,121
263106,7,8,11,19,21,27,32,125
263165,3,4,7,12,26,27,32,111
263216,3,7,11,19,22,25,32,119
263502,3,4,14,18,25,30,31,125
263599,1,7,16,19,22,23,32,120
263770,3,8,9,13,24,30,35,122
263887,5,9,14,24,27,30,35,144
263916,7,10,17,18,25,31,35,143
264093,1,14,16,20,21,23,34,129
264124,2,7,8,11,17,28,32,105
264184,7,10,14,20,25,30,31,137
264319,4,12,18,20,21,25,27,127
264449,3,8,9,19,25,26,29,119
264461,2,9,11,16,22,26,31,117
264656,5,12,14,16,22,29,31,129
264768,4,14,18,20,25,27,33,141
264807,10,12,14,24,25,27,33,145
264828,7,8,9,14,24,31,35,128
264859,1,4,7,14,19,27,31,103
264894,4,8,9,11,25,28,31,116
265027,9,14,17,20,24,26,31,141
265032,1,4,17,20,24,27,33,126
265160,1,6,7,18,22,27,30,111
265166,2,4,8,13,27,29,31,114
265213,5,7,9,18,22,26,28,115
265393,4,8,10,14,25,27,31,119
265400,7,8,15,18,23,29,33,133
265445,6,14,15,20,26,29,33,143
265454,8,10,11,16,23,27,35,130
265512,9,10,16,20,21,24,31,131
265762,2,8,9,13,23,26,29,110
266013,4,6,10,16,19,27,33,115
266335,4,10,15,19,21,29,35,133
266370,4,10,11,13,19,27,31,115
266476,3,14,16,17,21,27,32,130
266479,3,8,16,18,23,25,29,122
266482,2,6,16,19,29,30,35,137
266673,3,7,16,20,26,27,29,128
266878,2,6,17,18,25,31,33,132
267046,6,14,16,18,21,29,35,139
267198,1,6,16,18,24,25,29,119
267401,7,14,15,24,27,28,34,149
267412,4,5,10,17,25,27,31,119
267761,1,10,16,20,25,28,33,133
267828,7,10,14,20,27,30,35,143
267934,6,7,14,20,23,27,34,131
268037,3,7,11,17,22,27,32,119
268191,5,9,15,19,24,32,35,139
268318,9,14,16,24,25,29,30,147
268360,2,4,15,18,19,23,25,106
268387,4,12,15,16,21,23,27,118
268595,7,10,11,14,21,27,29,119
268812,1,7,9,24,26,30,33,130
268848,1,7,16,20,24,25,31,124
269184,7,9,11,16,17,26,29,115
269244,7,8,9,13,24,29,33,123
269315,3,7,11,12,21,27,34,115
269527,1,5,11,18,22,30,32,119
269662,2,7,9,13,17,29,34,111
269795,5,9,11,16,17,29,30,117
269808,3,7,14,17,26,27,32,126
270154,1,5,7,18,27,28,29,115
270242,5,9,14,16,22,24,25,115
270261,2,3,15,20,26,29,30,125
270288,2,6,7,17,19,23,29,103
270357,3,8,16,19,22,27,31,126
270420,2,8,11,20,25,29,35,130
270675,7,14,18,20,27,30,33,149
270800,3,7,9,20,26,31,34,130
271395,1,7,14,20,21,29,33,125
271460,2,3,7,14,23,25,29,103
271561,3,7,17,18,22,24,30,121
271902,9,12,17,18,21,32,35,144
272028,1,4,14,18,29,30,35,131
272132,1,12,18,19,25,29,33,137
272248,8,12,17,18,26,27,29,137
272261,1,5,14,20,23,25,33,121
272289,4,6,17,20,23,25,27,122
272312,4,12,14,19,25,27,31,132
272372,1,7,16,17,21,27,32,121
272562,1,9,17,18,23,24,28,120
272665,1,5,11,20,27,30,34,128
272720,1,9,16,17,21,26,27,117
272894,5,7,11,20,26,29,35,133
273040,2,10,11,14,25,29,31,122
273100,3,8,9,20,21,31,35,127
273392,5,9,18,19,24,28,35,138
273433,2,6,10,17,25,27,33,120
273454,8,9,17,18,23,25,29,129
273692,4,5,8,18,21,29,35,120
273807,9,10,17,20,23,26,27,132
273857,4,8,10,20,21,27,31,121
274117,4,9,11,13,19,24,29,109
274132,7,8,15,17,21,31,34,133
274246,3,5,7,20,21,27,32,115
274348,3,12,18,24,26,27,31,141
274432,5,9,14,18,22,24,25,117
274578,7,12,15,16,19,25,29,123
274690,5,9,14,20,21,29,34,132
274691,5,8,9,13,19,28,29,111
274765,2,7,8,18,25,26,29,115
274846,5,7,14,20,23,27,34,130
275136,2,7,14,20,25,27,29,124
275208,3,4,8,20,23,29,31,118
275257,9,12,17,20,24,26,33,141
275292,3,9,11,20,21,24,30,118
275411,5,9,14,20,23,24,30,125
275456,7,12,16,20,21,24,27,127
275617,8,14,17,18,27,30,33,147
275720,6,8,11,18,29,31,35,138
275851,4,7,11,14,19,25,27,107
275920,1,9,15,20,24,28,33,130
276062,3,7,16,19,22,29,31,127
276210,3,9,16,20,22,26,29,125
276503,1,4,8,14,27,31,35,120
276551,5,9,15,18,22,26,35,130
276636,1,5,7,18,29,30,35,125
276644,1,3,7,20,24,25,28,108
276656,9,12,16,18,19,29,33,136
276724,2,5,14,20,24,29,33,127
276789,2,8,11,18,24,29,33,125
277060,4,12,14,20,21,25,27,123
277073,7,9,11,12,17,28,29,113
277102,6,7,11,19,21,27,30,121
277477,5,9,16,18,21,29,35,133
277549,5,7,9,11,21,24,34,111
277665,7,14,16,18,26,29,35,145
277756,2,10,11,17,25,31,35,131
277926,1,12,14,16,17,27,33,120
277941,1,8,10,16,22,29,33,119
277953,3,6,9,20,22,26,29,115
277962,7,9,14,20,22,24,35,131
278023,8,14,17,18,23,25,33,138
278054,6,8,11,18,24,27,31,125
278432,7,9,14,20,24,27,35,136
278489,1,4,17,18,21,29,35,125
278552,4,6,17,18,21,27,34,127
278686,2,6,7,17,27,28,34,121
278792,3,9,11,13,21,28,34,119
278846,1,5,7,20,22,23,28,106
278954,5,9,11,18,21,28,31,123
279017,3,7,11,16,17,27,34,115
279217,2,8,11,13,17,30,34,115
279549,3,10,14,16,26,27,29,125
279680,1,3,7,18,25,26,29,109
279971,2,7,9,11,21,27,34,111
280054,4,14,15,18,23,28,29,131
280130,1,5,11,20,25,30,31,123
280628,7,8,11,14,26,27,32,125
280650,1,3,7,13,22,28,33,107
280928,5,7,15,18,19,24,27,115
281321,2,7,11,14,19,25,28,106
281333,2,8,9,13,23,29,32,116
281372,9,10,18,19,23,24,32,135
281586,6,9,10,13,19,24,28,109
281773,1,7,11,18,19,32,34,122
282030,3,7,18,20,22,26,31,127
282126,8,9,17,18,23,28,32,135
282141,8,14,15,18,25,26,29,135
282209,3,5,11,16,26,27,30,118
282245,4,8,10,18,19,25,35,119
282331,6,7,17,18,19,23,31,121
282346,7,10,17,18,22,28,35,137
282580,4,12,17,18,19,23,30,123
282711,1,5,9,20,26,27,31,119
282782,7,8,10,11,21,27,29,113
282832,9,10,16,20,26,29,35,145
282979,2,4,7,11,21,27,28,100
283193,7,8,10,13,22,26,31,117
283263,4,6,9,13,19,24,32,107
283316,1,3,16,24,27,31,33,135
283837,1,7,8,20,22,27,31,116
284019,4,7,10,16,17,27,31,112
284190,1,4,18,19,24,29,33,128
284438,4,5,9,11,21,25,34,109
284564,5,7,10,20,21,25,27,115
284624,4,14,18,19,25,28,31,139
285000,2,6,11,16,17,27,32,111
285279,7,8,9,13,24,25,27,113
285410,4,6,17,18,21,23,25,114
285490,5,9,11,17,22,25,28,117
285669,7,12,17,18,21,28,34,137
285776,8,9,15,20,24,27,29,132
286159,3,7,10,16,17,25,27,105
286251,5,9,15,16,21,24,27,117
286500,2,9,15,18,19,29,34,126
286541,4,8,9,16,29,31,35,132
286652,2,4,9,13,21,23,29,101
286705,5,12,14,16,22,23,31,123
286767,1,10,17,18,21,23,33,123
286815,9,14,18,20,21,28,29,139
286972,1,9,15,17,25,28,32,127
287320,6,7,8,11,22,28,31,113
287729,5,8,16,20,26,27,31,133
288002,2,10,11,20,21,25,27,116
288095,1,9,14,24,25,28,30,131
288280,3,9,14,18,22,31,32,129
288309,1,4,7,18,26,29,33,118
288401,1,5,11,20,21,27,30,115
288534,4,6,10,18,19,25,31,113
288543,1,5,16,17,23,27,32,121
288862,3,7,9,14,19,24,34,110
288960,1,14,18,20,25,28,33,139
289132,4,7,9,18,21,24,25,108
289249,3,7,16,19,22,28,29,124
289752,9,10,14,17,25,29,35,139
289832,1,4,11,18,22,25,31,112
290035,2,14,15,18,23,29,33,134
290065,5,9,14,20,22,23,29,122
290118,2,3,8,20,24,29,33,119
290504,3,6,9,14,21,24,25,102
290533,3,7,14,20,21,29,30,124
290659,1,7,8,12,22,25,32,107
290849,4,8,9,18,19,25,29,112
290964,5,9,15,16,26,29,33,133
291166,1,9,14,18,24,28,29,123
291265,1,6,16,18,27,29,33,130
291349,7,14,18,19,21,24,27,130
291419,1,4,7,18,21,25,30,106
291737,1,7,9,11,22,23,32,105
291860,7,8,17,20,23,27,34,136
292056,3,14,17,20,21,26,31,132
292146,4,6,17,18,24,29,33,131
292316,3,9,10,20,21,24,31,118
292336,5,8,9,16,17,29,35,119
292391,8,9,16,17,23,27,30,130
292499,1,5,10,11,22,31,35,115
293213,5,7,8,17,23,27,28,115
293338,1,7,11,19,22,32,34,126
293465,2,9,16,17,22,26,29,121
293605,1,3,7,20,21,23,34,109
293661,8,9,18,20,24,25,35,139
293690,4,10,15,17,24,25,29,124
293828,8,9,15,20,23,24,33,132
293922,6,9,10,16,17,28,29,115
294075,2,9,16,18,21,24,25,115
294329,2,9,16,19,22,31,35,134
294333,2,5,9,16,17,25,31,105
294483,3,8,9,24,25,29,32,130
294739,1,6,18,19,22,25,33,124
294833,2,9,15,20,24,26,27,123
294845,8,9,10,13,17,23,29,109
295080,2,7,11,16,26,29,32,123
295153,2,3,9,19,25,28,29,115
295160,1,7,15,19,22,24,25,113
295730,8,9,16,17,23,24,28,125
295848,5,8,10,18,22,27,33,123
295882,4,8,9,18,21,27,32,119
295938,2,4,16,19,25,26,29,121
295948,5,9,11,16,24,26,32,123
296183,7,8,11,17,22,26,30,121
296215,6,8,11,20,25,29,31,130
296324,1,7,8,18,22,29,33,118
296349,5,7,17,20,24,26,29,128
296902,6,10,16,18,19,25,29,123
296973,1,10,16,18,22,31,33,131
297120,4,6,14,20,21,29,33,127
297450,3,5,9,20,21,24,25,107
297714,4,6,14,20,23,27,33,127
297880,2,4,11,17,25,27,31,117
298320,6,12,16,17,24,27,29,131
298541,6,12,17,18,29,31,33,146
298616,3,8,11,13,17,27,28,107
298636,4,7,8,13,21,27,30,110
298647,1,7,9,12,24,25,28,106
298856,10,14,16,20,23,27,31,141
298912,3,4,7,18,21,25,31,109
298952,5,7,11,16,19,27,34,119
298960,3,8,11,16,25,27,31,121
299067,4,8,11,20,22,25,31,121
299123,1,4,15,24,25,29,31,129
299182,2,14,15,18,24,25,33,131
299261,1,4,15,16,21,23,27,107
299323,1,9,11,18,22,24,29,114
299325,5,9,14,16,23,24,30,121
299338,4,14,17,20,24,29,33,141
299362,9,14,16,20,23,24,35,141
299426,6,9,15,18,22,26,33,129
299528,1,5,16,20,22,23,33,120
299772,3,8,18,19,25,29,33,135
299777,1,9,14,20,23,26,30,123
300012,7,8,10,18,22,29,35,129
300385,1,3,9,13,22,30,34,112
300442,3,4,14,18,23,24,27,113
300484,2,7,9,11,22,26,28,105
300562,5,9,14,16,22,31,33,130
300573,4,12,17,24,25,27,31,140
300654,2,9,15,17,25,29,32,129
300686,1,6,16,19,22,26,35,125
300975,3,7,14,20,29,32,35,140
300981,1,4,7,14,27,30,31,114
301224,1,7,9,20,26,30,35,128
301273,7,8,10,14,17,23,27,106
301382,1,7,17,20,26,30,32,133
301383,4,7,9,13,19,24,27,103
301792,7,12,14,20,27,31,32,143
301967,4,10,11,20,21,25,32,123
301974,9,10,16,20,21,31,32,139
301979,1,4,7,20,25,28,32,117
302213,3,7,8,14,17,25,27,101
302238,2,4,10,14,25,27,33,115
302490,3,8,9,12,23,25,29,109
302621,1,7,16,20,24,27,34,129
302816,6,7,17,18,21,27,30,126
302872,9,10,14,20,23,31,33,140
302883,4,9,11,13,19,30,35,121
302928,1,7,17,20,22,24,31,122
302969,3,10,14,16,27,29,30,129
303214,7,8,11,14,27,30,35,132
303225,1,7,8,17,22,26,34,115
303375,1,7,17,20,26,30,35,136
303654,9,10,14,16,27,29,30,135
303851,2,8,18,20,29,31,33,141
304143,2,8,17,18,21,26,29,121
304246,8,14,17,18,21,29,33,140
304276,9,12,17,18,22,28,33,139
304319,3,10,11,14,21,25,27,111
304336,4,8,16,17,21,27,31,124
304337,1,8,15,20,23,29,33,129
304386,7,9,10,11,17,24,33,111
304486,5,8,9,20,22,29,35,128
304589,4,7,17,24,26,27,30,135
304754,6,9,16,19,23,29,32,134
305455,8,9,17,20,23,24,31,132
305486,9,10,14,19,27,29,35,143
305565,1,5,9,20,22,29,35,121
305717,7,8,17,20,23,27,29,131
305803,3,8,9,20,24,31,34,129
305913,3,6,9,13,21,24,32,108
305979,3,10,17,20,26,31,35,142
306034,10,14,15,16,22,25,27,129
306147,4,5,14,18,25,31,32,129
306414,1,5,7,13,22,24,34,106
306959,3,9,17,20,24,27,31,131
307326,7,8,9,14,27,29,31,125
307348,1,12,18,19,22,24,33,129
307354,7,10,11,18,19,23,29,117
307411,9,10,11,16,21,29,33,129
307488,1,4,15,24,25,26,30,125
307613,9,10,11,16,19,23,32,120
307697,3,8,10,18,24,29,33,125
307838,7,10,16,17,22,31,35,138
307846,2,6,7,12,25,26,29,107
308258,5,8,10,13,27,29,33,125
308264,1,9,18,19,23,24,34,128
308481,5,8,9,18,22,28,35,125
308538,1,5,16,17,22,24,27,112
308577,4,7,8,14,19,27,34,113
308604,4,5,8,19,22,24,25,107
308605,1,4,8,24,25,27,33,122
308611,4,8,15,16,17,25,31,116
308797,4,8,9,20,26,31,33,131
309223,8,12,17,18,22,27,33,137
309272,4,7,14,18,26,29,35,133
309338,4,8,15,18,24,27,35,131
309370,1,5,15,16,22,30,32,121
309421,4,9,18,19,22,24,35,131
309496,4,8,9,18,19,25,32,115
309551,1,7,18,19,22,26,27,120
309634,7,9,17,18,26,30,32,139
309750,5,7,16,20,21,23,29,121
310009,1,5,11,18,22,31,35,123
310150,5,9,14,17,22,29,35,131
310442,10,12,16,17,22,29,35,141
310443,3,7,9,14,27,29,32,121
310793,1,5,17,18,26,29,32,128
311291,2,8,17,18,21,26,35,127
311426,6,7,8,11,17,27,33,109
311816,5,14,16,20,22,25,31,133
311818,10,12,17,18,22,25,33,137
311951,3,4,8,13,21,27,34,110
312222,2,4,9,17,23,25,27,107
312419,5,9,11,20,21,31,32,129
312425,7,9,17,19,24,30,34,140
312765,3,4,17,18,23,27,33,125
312776,7,9,10,19,22,24,28,119
312972,4,6,15,16,21,24,25,111
312989,1,5,10,24,25,27,33,125
313443,1,9,18,20,29,31,35,143
313622,1,7,11,20,22,26,27,114
313682,3,7,17,18,24,26,33,128
314348,5,9,16,20,26,27,29,132
314512,1,4,15,17,21,25,30,113
314565,1,8,16,17,21,27,31,121
314627,1,9,16,18,22,29,33,128
314883,9,12,16,18,19,29,32,135
314924,4,7,15,17,24,30,34,131
314977,5,8,18,20,24,29,33,137
315130,6,7,9,17,21,24,27,111
315150,2,5,10,16,21,25,29,108
315291,2,4,11,17,21,23,35,113
315310,8,9,15,20,27,31,32,142
315344,1,5,9,18,26,29,32,120
315345,7,12,18,19,25,29,35,145
315437,4,9,11,13,17,26,31,111
315542,1,5,11,14,25,27,30,113
315759,6,8,16,19,22,25,29,125
316252,1,5,11,18,22,26,35,118
316257,2,7,11,12,21,23,29,105
316354,2,10,18,19,23,29,33,134
316567,5,8,9,11,19,28,35,115
316651,4,7,9,13,21,28,29,111
316809,3,4,15,20,21,24,34,121
316917,7,14,17,20,27,28,31,144
317035,6,9,17,18,21,23,31,125
317201,4,9,11,20,26,29,33,132
317284,2,6,11,14,19,24,25,101
317586,2,3,7,17,23,24,32,108
317597,1,7,11,20,25,30,35,129
317622,3,8,9,13,24,26,34,117
317755,3,6,9,14,29,31,35,127
317829,1,6,7,20,21,25,32,112
318398,3,6,14,20,24,25,33,125
318703,2,5,9,20,21,24,30,111
318770,1,3,9,20,22,26,33,114
318771,6,9,10,17,22,25,31,120
319023,4,6,16,17,27,31,33,134
319076,7,8,14,19,25,27,29,129
319078,1,6,8,16,22,31,35,119
319700,5,9,11,16,24,26,33,124
319765,6,7,10,20,21,27,28,119
319855,7,8,11,14,22,29,30,121
320001,7,10,16,17,22,29,33,134
320708,1,7,14,20,22,27,31,122
320777,6,7,17,18,24,29,33,134
320826,9,12,17,20,22,23,27,130
320832,5,6,16,20,23,26,27,123
320911,2,10,11,13,17,27,34,114
321112,4,10,17,20,24,31,33,139
321133,5,6,14,20,29,30,33,137
321179,2,4,9,16,19,23,29,102
321333,3,7,16,20,26,31,34,137
321445,7,10,11,13,21,24,27,113
321460,4,9,10,13,21,30,31,118
321597,2,6,9,12,19,25,29,102
321838,5,6,16,18,19,23,29,116
321881,2,8,11,24,25,27,29,126
322001,7,10,11,13,21,27,32,121
322370,2,6,10,16,17,25,27,103
322664,5,6,7,17,23,27,34,119
323073,1,4,14,18,24,29,31,121
323240,5,7,11,19,22,25,28,117
323768,2,7,18,20,25,26,29,127
323939,4,6,18,19,27,31,33,138
324644,1,7,15,20,23,27,28,121
324734,5,6,10,11,26,27,35,120
324745,1,3,9,14,22,25,29,103
324771,7,10,17,20,21,25,31,131
325058,10,14,17,18,23,26,31,139
325079,2,5,17,18,19,23,33,117
325459,6,9,17,20,24,30,31,137
325499,4,7,17,24,27,30,31,140
